company_name,url,revenue_class
第一三共株式会社,https://www.daiichisankyo.co.jp/,A
株式会社ジェイテクト,https://www.g-tekt.jp/,A
王子ホールディングス株式会社,https://www.oji-rd.jp/,A
日本航空株式会社,https://www.jal.co.jp/,A
大東建託株式会社,https://www.kentaku.co.jp/,A
東海旅客鉄道株式会社,https://tkj-i.co.jp/,A
三井化学株式会社,https://www.mck.co.jp/,A
株式会社　商船三井,https://www.mol.co.jp/,A
日本ペイントホールディングス株式会社,https://www.nipponpaint.co.jp/,A
ヤマトホールディングス株式会社,https://www.yamato-hd.co.jp/,A
株式会社村田製作所,https://www.murata.com/ja-jp,A
近鉄グループホールディングス株式会社,https://www.kintetsu-is.co.jp/,A
ＴＯＰＰＡＮホールディングス株式会社,https://www.holdings.toppan.com/ja/,A
サントリー食品インターナショナル株式会社,https://www.suntory.co.jp/,A
西日本旅客鉄道株式会社,https://www.westjr.co.jp/,A
キオクシアホールディングス株式会社,https://www.kioxia.com/ja-jp/top.html,A
日野自動車株式会社,https://www.hino.co.jp/,A
花王株式会社,https://www.kao.com/jp/,A
株式会社ヤマダホールディングス,https://yamada-jkhd.jp/,A
株式会社ＩＨＩ,https://www.ihi.co.jp/,A
住友金属鉱山株式会社,https://www.smm.co.jp/,A
三菱地所株式会社,https://www.mec.co.jp/,A
味の素株式会社,https://www.ajinomoto.co.jp/,A
中国電力株式会社,https://www.energia.co.jp/,A
ミネベアミツミ株式会社,https://www.mitsumi.co.jp/,A
東邦ホールディングス株式会社,https://www.tohohd.jp/,A
株式会社ＬＩＸＩＬ,https://www.lixil.co.jp/,A
ＳＧホールディングス株式会社,https://www.sg-hldgs.co.jp/,A
飯田グループホールディングス株式会社,https://www.ighd.co.jp/,A
大日本印刷株式会社,https://dnp-plaza.jp/,A
パーソルホールディングス株式会社,https://persol-diverse.co.jp/,A
ＳＢＩホールディングス株式会社,https://www.sbigroup.co.jp/,A
株式会社電通グループ,https://www.dentsu.co.jp/,A
日立建機株式会社,https://www.hitachicm.com/jp/ja/,A
日本ハム株式会社,https://www.fighters.co.jp/,A
東京センチュリー株式会社,https://www.tokyocentury.co.jp/jp/,A
セイコーエプソン株式会社,https://www.epson.jp/,A
株式会社レゾナック・ホールディングス,https://www.resonac.com/jp,A
株式会社オープンハウスグループ,https://openhouse-group.co.jp/,A
株式会社　大塚商会,https://www.otsuka-shokai.co.jp/,A
ルネサスエレクトロニクス株式会社,https://ritti-oita.jp/company/detail/459130be-f0ea-451d-b7a6-a5642d3a6389,A
電源開発株式会社,https://www.jpower.co.jp/,A
山崎製パン株式会社,https://www.yamazakipan.co.jp/,A
日本酸素ホールディングス株式会社,https://www.tn-sanso.co.jp/,A
積水化学工業株式会社,https://www.sekisui.co.jp/,A
中外製薬株式会社,https://chugai-pharm.jp/login/,A
株式会社バンダイナムコホールディングス,https://bandainamco-am.co.jp/,A
横浜ゴム株式会社,https://www.y-yokohama.com/,A
加藤産業株式会社,https://www.katosangyo.co.jp/,A
住友ゴム工業株式会社,https://www.srigroup.co.jp/,A
古河電気工業株式会社,https://furukawa-denki.com/,A
セコム株式会社,https://www.secom.co.jp/,A
株式会社ＰＡＬＴＡＣ,https://www.paltac.co.jp/,A
日本製紙株式会社,https://nlpp.co.jp/,A
株式会社　長谷工コーポレーション,https://www.haseko-hln.com/,A
任天堂株式会社,https://support.nintendo.com/jp/index.html,A
明治ホールディングス株式会社,https://www.meiji.com/,A
