company_name,url,revenue_class
アステラス製薬株式会社,https://astellas.com/jp/home,A
野村ホールディングス株式会社,https://www.nomuraholdings.com/jp/company/outline.html,A
第一三共株式会社,https://www.daiichisankyo.co.jp/,A
株式会社ジェイテクト,https://www.jtekt.co.jp/company/,A
王子ホールディングス株式会社,https://www.ojiholdings.co.jp/,A
日本航空株式会社,https://www.jal.com/ja/,A
大東建託株式会社,https://www.kentaku.co.jp/corporate/,A
東海旅客鉄道株式会社,https://company.jr-central.co.jp/company/about/,A
三井化学株式会社,https://jp.mitsuichemicals.com/jp/index.htm,A
株式会社　商船三井,https://www.mol.co.jp/corporate/,A
日本ペイントホールディングス株式会社,https://www.nipponpaint-holdings.com/,A
ヤマトホールディングス株式会社,https://www.yamato-hd.co.jp/company/,A
株式会社村田製作所,https://www.murata.com/ja-jp,A
近鉄グループホールディングス株式会社,https://www.kintetsu-g-hd.co.jp/,A
ＴＯＰＰＡＮホールディングス株式会社,https://www.holdings.toppan.com/ja/,A
サントリー食品インターナショナル株式会社,https://www.suntory.co.jp/softdrink/company/,A
西日本旅客鉄道株式会社,https://www.westjr.co.jp/company/info/,A
キオクシアホールディングス株式会社,https://www.kioxia-holdings.com/ja-jp/top.html,A
日野自動車株式会社,https://www.hino.co.jp/,A
花王株式会社,https://www.kao.com/jp/,A
株式会社ヤマダホールディングス,https://www.yamada-holdings.jp/,A
株式会社ＩＨＩ,https://www.ihi.co.jp/company/,A
住友金属鉱山株式会社,https://www.smm.co.jp/,A
三菱地所株式会社,https://www.mec.co.jp/company/,A
味の素株式会社,https://www.ajinomoto.co.jp/,A
中国電力株式会社,https://www.energia.co.jp/corp/company/,A
ミネベアミツミ株式会社,https://www.minebeamitsumi.com/,A
東邦ホールディングス株式会社,https://www.tohohd.co.jp/,A
株式会社ＬＩＸＩＬ,https://www.lixil.co.jp/corporate/,A
ＳＧホールディングス株式会社,https://www.sg-hldgs.co.jp/,A
飯田グループホールディングス株式会社,https://www.ighd.co.jp/,A
大日本印刷株式会社,https://www.dnp.co.jp/index.html,A
パーソルホールディングス株式会社,https://www.persol-group.co.jp/,A
ＳＢＩホールディングス株式会社,https://www.sbigroup.co.jp/,A
株式会社電通グループ,https://www.group.dentsu.com/jp/,A
日立建機株式会社,https://www.hitachicm.com/jp/ja/company/,A
日本ハム株式会社,https://www.nipponham.co.jp/corporate/group/outline/,A
東京センチュリー株式会社,https://www.tokyocentury.co.jp/jp/company/,A
セイコーエプソン株式会社,https://corporate.epson/ja/,A
株式会社レゾナック・ホールディングス,https://www.resonac.com/jp,A
株式会社オープンハウスグループ,https://openhouse-group.co.jp/company/,A
株式会社　大塚商会,https://www.otsuka-shokai.co.jp/corporate/,A
ルネサスエレクトロニクス株式会社,https://www.renesas.com/ja/,A
電源開発株式会社,https://www.jpower.co.jp/,A
山崎製パン株式会社,https://www.yamazakipan.co.jp/corporate/,A
日本酸素ホールディングス株式会社,https://www.nipponsanso-hd.co.jp/,A
積水化学工業株式会社,https://www.sekisui.co.jp/,A
中外製薬株式会社,https://www.chugai-pharm.co.jp/,A
株式会社バンダイナムコホールディングス,https://www.bandainamco.co.jp/,A
横浜ゴム株式会社,https://www.y-yokohama.com/,A
加藤産業株式会社,https://www.katosangyo.co.jp/,A
住友ゴム工業株式会社,https://www.srigroup.co.jp/,A
古河電気工業株式会社,https://www.furukawaelectric.com/,A
セコム株式会社,https://www.secom.co.jp/corporate/,A
株式会社ＰＡＬＴＡＣ,https://www.paltac.co.jp/corporate/,A
日本製紙株式会社,https://www.nipponpapergroup.com/,A
株式会社　長谷工コーポレーション,https://www.haseko.co.jp/hc/company/index.html,A
任天堂株式会社,https://www.nintendo.co.jp/corporate/index.html,A
明治ホールディングス株式会社,https://www.meiji.com/,A
東急不動産ホールディングス株式会社,https://www.tokyu-fudosan-hd.co.jp/,A
ダイワボウホールディングス株式会社,https://www.daiwabo-holdings.com/ja/index.html,A
株式会社ゼンショーホールディングス,https://www.zensho.co.jp/jp/company/,A
コニカミノルタ株式会社,https://www.konicaminolta.com/jp-ja/corporate/index.html,A
富士電機株式会社,https://www.fujielectric.co.jp/index.html,A
岡谷鋼機株式会社,https://www.okaya.co.jp/,A
株式会社　りそなホールディングス,https://www.resona-gr.co.jp/,A
阪急阪神ホールディングス株式会社,https://www.hankyu-hanshin.co.jp/corporate/,A
Umios株式会社,http://www.umios.com/jp/,A
